Date,Open,High,Low,Close,Volume,Adj Close
8/17/15,255.559998,260.950012,230.509995,230.770004,5292700,230.770004
8/24/15,202.789993,251.449997,195,248.479996,6408300,248.479996
8/31/15,245.619995,254.949997,236.970001,241.929993,4533600,241.929993
9/8/15,245.050003,254.25,244.050003,250.240005,2897200,250.240005
9/14/15,251.100006,265.5,249.5,260.619995,3518000,260.619995
9/21/15,263.980011,271.570007,255.800003,256.910004,3921400,256.910004
9/28/15,257.350006,259.790009,234.929993,247.570007,4506100,247.570007
10/5/15,248.839996,249.839996,218.360001,220.690002,5604100,220.690002
10/12/15,222.990005,230.479996,211.130005,227.009995,3858100,227.009995
10/19/15,226.5,231.149994,202,209.089996,5716600,209.089996
10/26/15,211.380005,217.100006,203.889999,206.929993,3176600,206.929993
11/2/15,208.919998,234.580002,207.220001,232.360001,6385700,232.360001
11/9/15,232.990005,232.990005,206.520004,207.190002,3632300,207.190002
11/16/15,206.089996,226.190002,205.800003,220.009995,2958200,220.009995
11/23/15,217.350006,232.25,214.679993,231.610001,2736600,231.610001
11/30/15,231.789993,238.600006,227.660004,230.380005,2977700,230.380005
12/7/15,227.699997,235.630005,216.639999,217.020004,2845000,217.020004
12/14/15,217.509995,237.759995,214.869995,230.460007,3297700,230.460007
12/21/15,231.690002,236.550003,228.130005,230.570007,1544400,230.570007
12/28/15,231.490005,243.630005,225.539993,240.009995,2672100,240.009995
1/4/16,230.720001,231.380005,210.770004,211,4195000,211
1/11/16,214.009995,214.449997,193.380005,204.990005,4624500,204.990005
1/19/16,208.710007,210.470001,191.25,202.550003,4041900,202.550003
1/25/16,200.059998,203.570007,182.410004,191.199997,3726700,191.199997
2/1/16,188.759995,199.520004,157.740005,162.600006,6545400,162.600006
2/8/16,157.100006,163.259995,141.050003,151.039993,9674900,151.039993
2/16/16,158.699997,172.949997,154.110001,166.580002,4525400,166.580002
2/22/16,170.119995,192,167.839996,190.339996,5634600,190.339996
2/29/16,192.399994,204.029999,181.5,201.039993,5460900,201.039993
3/7/16,197.679993,213.289993,197.399994,207.5,4220700,207.5
3/14/16,212.649994,234.479996,210.639999,232.740005,3820300,232.740005
3/21/16,235.339996,239.880005,215,227.75,4865600,227.75
3/28/16,231.610001,247.899994,225,237.589996,7163700,237.589996
4/4/16,249.119995,269.339996,240,250.070007,10232100,250.070007
4/11/16,251,258.98999,245.300003,249.919998,9153900,249.919998
